Country,ActionWater,WaterType,Class_cane,Epidemic,YieldOldGrade,Type_Cane,GrooveWide,FertilizerType,TypeSoil,Fertilizer,TargetOldGrade,Area_Remain,ContractsArea,YieldGrade,FarmerContractGrade,TargetGrade,Rain_Avg,Yield_Category,YearBin
India,Water pour,Natural canal,2nd ratoon cane,Herbicide,Grade 2,K99-72,140 cm,Chemical,Loam,25-7-7,Grade 1,28.23,460.28,Grade 2,A,Grade 2,2492.56,Low,2020s
Nepal,Water pour,Groundwater,3rd ratoon cane,Preemergent,Grade 3,Khonkean3,150 cm,Chemical,Ferus soil,15-15-15,Grade 1,96.31,313.86,Grade 2,A,Grade 2,2296.86,Low,1970s
Sri Lanka,Rain,Rain,2nd ratoon cane,Herbicide,Grade 1,LK92-11,120 cm,Chemical,Silty clay,46-0-0,Grade 3,81.58,315.01,Grade 2,A,Grade 2,1944.76,Low,1980s
Sri Lanka,Water pour,Groundwater,2nd ratoon cane,Herbicide,Grade 2,K99-72,120 cm,Organic,Loam,15-15-15,Grade 1,27.98,443.34,Grade 1,B,Grade 3,1499.06,Low,1990s
Pakistan,Rain,Rain,1st ratoon cane,Herbicide,Grade 2,K84-200,150 cm,Chemical,Ferus soil,16-16-16,Grade 1,33.63,338.55,Grade 2,B,Grade 3,2627.78,Low,2000s
Bangladesh,Water pour,Rain,3rd ratoon cane,Preemergent,Grade 2,K84-200,150 cm,Chemical,Ferus soil,16-16-16,Grade 2,50.37,282.06,Grade 3,B,Grade 1,2966.74,High,1990s
Pakistan,Water pour,Natural canal,3rd ratoon cane,Preemergent,Grade 3,Khonkean3,150 cm,Chemical,Silty clay,46-0-0,Grade 2,97.65,167.35,Grade 3,C,Grade 1,907.41,High,1970s
Pakistan,Water pour,Groundwater,1st ratoon cane,Herbicide,Grade 3,Khonkean3,150 cm,Chemical,Loam,15-15-15,Grade 2,72.96,114.39,Grade 2,A,Grade 1,2670.2,High,1980s
Nepal,Rain,Rain,3rd ratoon cane,Preemergent,Grade 3,Khonkean3,130 cm,Chemical,Silty clay,46-0-0,Grade 2,34.08,400.31,Grade 3,C,Grade 1,2404.14,Low,2010s
India,Water pour,Rain,3rd ratoon cane,Herbicide,Grade 3,Khonkean3,120 cm,Organic,Ferus soil,25-7-7,Grade 2,31.25,59.55,Grade 3,C,Grade 1,936.17,High,2010s
Sri Lanka,Water pour,Rain,2nd ratoon cane,Herbicide,Grade 2,K84-200,140 cm,Chemical,Loam,16-16-16,Grade 2,8.13,436.86,Grade 2,A,Grade 3,1988.39,Low,2020s
Sri Lanka,Water pour,Groundwater,2nd ratoon cane,Herbicide,Grade 1,Khonkean3,140 cm,Organic,Ferus soil,25-7-7,Grade 2,96.59,296.33,Grade 2,B,Grade 1,2595.38,High,1990s
India,Rain,Groundwater,2nd ratoon cane,Herbicide,Grade 1,LK92-11,120 cm,Chemical,Silty clay,15-15-15,Grade 3,75.43,411.76,Grade 2,C,Grade 2,1748.93,Low,1990s
Sri Lanka,Water pour,Groundwater,2nd ratoon cane,Preemergent,Grade 1,Khonkean3,120 cm,Chemical,Ferus soil,16-16-16,Grade 1,16.77,467.01,Grade 2,C,Grade 1,2914.52,High,2010s
Bangladesh,Rain,Groundwater,2nd ratoon cane,Herbicide,Grade 3,K99-72,140 cm,Organic,Silty clay,16-16-16,Grade 3,78.25,29.58,Grade 1,B,Grade 2,1778.79,High,1990s
Pakistan,Rain,Natural canal,2nd ratoon cane,Preemergent,Grade 3,K99-72,130 cm,Chemical,Ferus soil,46-0-0,Grade 1,63.5,400.03,Grade 3,B,Grade 1,894.8,Low,1970s
India,Water pour,Groundwater,1st ratoon cane,Preemergent,Grade 2,K84-200,120 cm,Organic,Loam,15-15-15,Grade 1,90.25,79.27,Grade 3,B,Grade 3,890.91,High,1980s
Bangladesh,Rain,Natural canal,1st ratoon cane,Herbicide,Grade 1,Khonkean3,120 cm,Chemical,Silty clay,46-0-0,Grade 1,70.22,252.14,Grade 3,A,Grade 3,813.24,High,2000s
Nepal,Rain,Natural canal,2nd ratoon cane,Herbicide,Grade 3,K84-200,130 cm,Chemical,Ferus soil,15-15-15,Grade 1,87.7,457.1,Grade 3,C,Grade 2,2702.89,High,1980s
India,Water pour,Groundwater,1st ratoon cane,Herbicide,Grade 2,K84-200,130 cm,Organic,Ferus soil,25-7-7,Grade 2,60.03,206.58,Grade 3,C,Grade 3,1797.12,Low,2000s
India,Rain,Rain,3rd ratoon cane,Preemergent,Grade 1,K84-200,130 cm,Organic,Loam,46-0-0,Grade 3,50.05,475.87,Grade 3,B,Grade 2,2832.56,High,2000s
Nepal,Rain,Natural canal,3rd ratoon cane,Herbicide,Grade 3,K84-200,140 cm,Organic,Silty clay,16-16-16,Grade 3,83.13,467.29,Grade 1,A,Grade 3,1690.92,Low,2010s
Pakistan,Rain,Rain,2nd ratoon cane,Herbicide,Grade 2,Khonkean3,120 cm,Chemical,Ferus soil,25-7-7,Grade 1,49.87,431.87,Grade 1,B,Grade 3,800.96,High,1990s
India,Rain,Groundwater,2nd ratoon cane,Preemergent,Grade 2,LK92-11,130 cm,Chemical,Loam,46-0-0,Grade 2,97.61,254.44,Grade 1,C,Grade 2,1605.6,Low,1980s
Nepal,Water pour,Rain,1st ratoon cane,Herbicide,Grade 1,K99-72,140 cm,Organic,Ferus soil,16-16-16,Grade 2,43.69,40.43,Grade 3,B,Grade 3,2593.1,High,1990s
Nepal,Water pour,Rain,3rd ratoon cane,Herbicide,Grade 3,K99-72,120 cm,Organic,Ferus soil,46-0-0,Grade 1,98.44,240.97,Grade 1,C,Grade 1,2431.34,Low,2020s
Bangladesh,Water pour,Rain,2nd ratoon cane,Preemergent,Grade 3,LK92-11,130 cm,Organic,Silty clay,15-15-15,Grade 1,21.1,38.74,Grade 1,A,Grade 2,906.53,Low,2010s
Pakistan,Water pour,Rain,2nd ratoon cane,Herbicide,Grade 1,LK92-11,140 cm,Chemical,Ferus soil,16-16-16,Grade 1,12.4,230.68,Grade 2,B,Grade 2,1137.36,High,1990s
Pakistan,Water pour,Groundwater,2nd ratoon cane,Preemergent,Grade 1,K84-200,120 cm,Organic,Ferus soil,46-0-0,Grade 3,14.0,43.31,Grade 1,C,Grade 2,1960.42,High,1990s
India,Rain,Groundwater,1st ratoon cane,Herbicide,Grade 1,K84-200,130 cm,Organic,Ferus soil,25-7-7,Grade 2,24.5,322.56,Grade 2,B,Grade 1,615.61,High,2000s
Bangladesh,Rain,Groundwater,1st ratoon cane,Herbicide,Grade 3,LK92-11,130 cm,Chemical,Silty clay,25-7-7,Grade 3,73.63,388.52,Grade 3,B,Grade 2,2886.86,High,1980s
India,Water pour,Rain,1st ratoon cane,Preemergent,Grade 2,LK92-11,150 cm,Chemical,Loam,16-16-16,Grade 2,74.28,444.78,Grade 1,C,Grade 3,1039.62,High,2000s
Pakistan,Rain,Groundwater,1st ratoon cane,Preemergent,Grade 2,K84-200,130 cm,Organic,Silty clay,16-16-16,Grade 3,19.62,197.59,Grade 1,B,Grade 3,2165.28,Low,1990s
Pakistan,Water pour,Groundwater,2nd ratoon cane,Herbicide,Grade 3,K99-72,150 cm,Organic,Loam,25-7-7,Grade 3,54.92,210.46,Grade 3,C,Grade 3,2501.32,High,1990s
Bangladesh,Water pour,Natural canal,2nd ratoon cane,Herbicide,Grade 2,Khonkean3,120 cm,Chemical,Silty clay,15-15-15,Grade 2,74.88,223.53,Grade 3,B,Grade 2,1080.81,Low,1970s
Pakistan,Water pour,Rain,2nd ratoon cane,Herbicide,Grade 1,Khonkean3,140 cm,Organic,Ferus soil,15-15-15,Grade 2,88.95,326.03,Grade 1,C,Grade 3,1041.11,Low,2010s
Sri Lanka,Water pour,Groundwater,3rd ratoon cane,Herbicide,Grade 1,LK92-11,120 cm,Chemical,Silty clay,15-15-15,Grade 1,83.91,233.37,Grade 2,C,Grade 1,2085.65,Low,1980s
Bangladesh,Rain,Rain,1st ratoon cane,Preemergent,Grade 1,Khonkean3,130 cm,Chemical,Silty clay,15-15-15,Grade 1,52.33,215.75,Grade 3,C,Grade 3,2287.58,High,1980s
Sri Lanka,Rain,Groundwater,1st ratoon cane,Preemergent,Grade 1,K99-72,120 cm,Chemical,Loam,46-0-0,Grade 2,35.17,482.3,Grade 1,C,Grade 2,1208.58,Low,1990s
Nepal,Water pour,Natural canal,3rd ratoon cane,Preemergent,Grade 2,K99-72,120 cm,Organic,Silty clay,25-7-7,Grade 2,15.44,285.11,Grade 1,A,Grade 3,2129.59,Low,1990s
Pakistan,Water pour,Rain,1st ratoon cane,Herbicide,Grade 1,LK92-11,140 cm,Chemical,Loam,46-0-0,Grade 1,37.76,345.89,Grade 1,B,Grade 1,2237.83,High,2000s
Nepal,Water pour,Natural canal,2nd ratoon cane,Preemergent,Grade 3,LK92-11,140 cm,Chemical,Silty clay,16-16-16,Grade 3,77.02,415.4,Grade 2,A,Grade 1,1573.76,Low,1970s
Pakistan,Rain,Rain,2nd ratoon cane,Preemergent,Grade 3,LK92-11,130 cm,Organic,Loam,25-7-7,Grade 3,18.4,369.85,Grade 3,B,Grade 2,1285.92,Low,2010s
Sri Lanka,Rain,Rain,2nd ratoon cane,Herbicide,Grade 1,Khonkean3,130 cm,Chemical,Silty clay,15-15-15,Grade 1,15.96,88.64,Grade 1,B,Grade 1,1108.21,High,2010s
India,Rain,Rain,3rd ratoon cane,Herbicide,Grade 3,K84-200,120 cm,Chemical,Ferus soil,16-16-16,Grade 3,95.79,481.17,Grade 1,B,Grade 1,1738.84,High,1990s
Nepal,Rain,Rain,1st ratoon cane,Preemergent,Grade 1,K99-72,140 cm,Organic,Ferus soil,15-15-15,Grade 1,10.91,458.52,Grade 3,A,Grade 2,1178.22,High,1990s
India,Rain,Groundwater,2nd ratoon cane,Herbicide,Grade 2,K99-72,140 cm,Organic,Ferus soil,25-7-7,Grade 1,45.88,43.97,Grade 1,A,Grade 2,2685.29,Low,1970s
Bangladesh,Water pour,Natural canal,3rd ratoon cane,Herbicide,Grade 2,LK92-11,120 cm,Organic,Loam,15-15-15,Grade 2,93.73,276.8,Grade 1,A,Grade 2,2465.03,High,2000s
Nepal,Rain,Rain,2nd ratoon cane,Preemergent,Grade 2,LK92-11,150 cm,Organic,Silty clay,15-15-15,Grade 2,66.16,367.08,Grade 3,A,Grade 3,874.06,Low,1980s
India,Water pour,Natural canal,3rd ratoon cane,Preemergent,Grade 2,K99-72,130 cm,Organic,Silty clay,25-7-7,Grade 2,28.83,224.1,Grade 2,A,Grade 3,1855.16,Low,2000s
Nepal,Rain,Natural canal,3rd ratoon cane,Herbicide,Grade 1,LK92-11,140 cm,Chemical,Loam,25-7-7,Grade 1,53.9,473.75,Grade 1,C,Grade 3,1690.01,High,1980s
India,Water pour,Natural canal,3rd ratoon cane,Herbicide,Grade 3,Khonkean3,120 cm,Organic,Silty clay,25-7-7,Grade 2,51.18,187.01,Grade 1,A,Grade 3,750.26,High,1980s
Bangladesh,Water pour,Natural canal,1st ratoon cane,Preemergent,Grade 1,K99-72,120 cm,Organic,Ferus soil,46-0-0,Grade 3,22.32,445.32,Grade 1,C,Grade 2,2829.14,Low,1990s
Sri Lanka,Water pour,Rain,1st ratoon cane,Herbicide,Grade 3,Khonkean3,120 cm,Chemical,Ferus soil,15-15-15,Grade 3,68.98,132.69,Grade 2,A,Grade 3,1993.2,Low,1970s
Bangladesh,Water pour,Groundwater,1st ratoon cane,Herbicide,Grade 2,Khonkean3,130 cm,Chemical,Silty clay,25-7-7,Grade 3,42.8,429.73,Grade 2,C,Grade 3,1432.1,High,2000s
Nepal,Water pour,Natural canal,3rd ratoon cane,Preemergent,Grade 2,Khonkean3,130 cm,Organic,Ferus soil,46-0-0,Grade 1,87.17,466.97,Grade 3,B,Grade 1,1503.17,Low,2010s
Nepal,Water pour,Rain,1st ratoon cane,Preemergent,Grade 3,K84-200,150 cm,Organic,Silty clay,46-0-0,Grade 2,7.61,440.7,Grade 2,C,Grade 3,1235.35,High,1980s
Pakistan,Rain,Natural canal,2nd ratoon cane,Herbicide,Grade 1,K99-72,120 cm,Chemical,Ferus soil,16-16-16,Grade 2,50.55,191.9,Grade 2,C,Grade 3,528.51,Low,2000s
Bangladesh,Rain,Groundwater,2nd ratoon cane,Herbicide,Grade 2,K99-72,140 cm,Organic,Loam,25-7-7,Grade 2,8.74,137.75,Grade 1,C,Grade 2,2580.43,Low,2010s
Bangladesh,Water pour,Groundwater,3rd ratoon cane,Preemergent,Grade 3,LK92-11,130 cm,Chemical,Ferus soil,25-7-7,Grade 3,21.07,481.31,Grade 1,A,Grade 3,1118.23,Low,2000s
India,Rain,Natural canal,2nd ratoon cane,Preemergent,Grade 3,K84-200,130 cm,Chemical,Loam,25-7-7,Grade 2,38.07,325.74,Grade 3,C,Grade 2,2181.22,Low,2010s
Sri Lanka,Rain,Rain,3rd ratoon cane,Herbicide,Grade 3,K84-200,150 cm,Chemical,Silty clay,25-7-7,Grade 2,36.1,378.0,Grade 1,A,Grade 1,1505.6,Low,1990s
Pakistan,Rain,Groundwater,1st ratoon cane,Herbicide,Grade 3,LK92-11,130 cm,Organic,Ferus soil,15-15-15,Grade 3,72.93,100.37,Grade 1,A,Grade 2,1598.56,High,1980s
Bangladesh,Rain,Groundwater,2nd ratoon cane,Herbicide,Grade 3,LK92-11,140 cm,Organic,Silty clay,25-7-7,Grade 2,97.64,497.88,Grade 1,A,Grade 1,1624.64,Low,2010s
India,Water pour,Rain,1st ratoon cane,Preemergent,Grade 2,Khonkean3,120 cm,Chemical,Ferus soil,46-0-0,Grade 3,19.15,482.14,Grade 3,C,Grade 1,803.16,Low,1980s
Sri Lanka,Water pour,Groundwater,1st ratoon cane,Preemergent,Grade 1,LK92-11,150 cm,Chemical,Silty clay,46-0-0,Grade 1,14.63,454.91,Grade 3,A,Grade 2,586.16,Low,2000s
Sri Lanka,Water pour,Groundwater,1st ratoon cane,Herbicide,Grade 3,K99-72,130 cm,Chemical,Ferus soil,16-16-16,Grade 2,59.56,419.99,Grade 3,B,Grade 1,757.47,Low,1970s
Sri Lanka,Rain,Natural canal,3rd ratoon cane,Herbicide,Grade 2,LK92-11,150 cm,Chemical,Ferus soil,46-0-0,Grade 3,21.09,221.4,Grade 2,C,Grade 3,2817.97,High,1970s
Bangladesh,Water pour,Natural canal,2nd ratoon cane,Herbicide,Grade 3,K84-200,130 cm,Organic,Silty clay,16-16-16,Grade 2,73.37,297.05,Grade 2,A,Grade 2,555.71,Low,2000s
Bangladesh,Water pour,Groundwater,3rd ratoon cane,Preemergent,Grade 2,LK92-11,120 cm,Organic,Silty clay,25-7-7,Grade 1,16.33,357.12,Grade 3,B,Grade 3,2841.75,Low,1980s
Bangladesh,Rain,Natural canal,1st ratoon cane,Herbicide,Grade 3,K84-200,150 cm,Organic,Ferus soil,16-16-16,Grade 2,24.07,89.4,Grade 3,A,Grade 2,2396.67,Low,1980s
Pakistan,Rain,Natural canal,1st ratoon cane,Preemergent,Grade 2,K99-72,150 cm,Organic,Loam,16-16-16,Grade 1,70.91,190.32,Grade 3,A,Grade 3,1299.15,High,2010s
Nepal,Water pour,Rain,3rd ratoon cane,Preemergent,Grade 3,K84-200,130 cm,Organic,Silty clay,46-0-0,Grade 3,65.47,283.02,Grade 3,A,Grade 1,643.91,Low,1990s
Bangladesh,Rain,Natural canal,1st ratoon cane,Preemergent,Grade 2,K99-72,140 cm,Chemical,Ferus soil,46-0-0,Grade 2,62.51,27.45,Grade 1,C,Grade 1,1790.94,High,2000s
Nepal,Rain,Natural canal,2nd ratoon cane,Herbicide,Grade 3,Khonkean3,140 cm,Chemical,Ferus soil,46-0-0,Grade 1,48.89,262.99,Grade 1,B,Grade 2,677.85,Low,1970s
Nepal,Rain,Rain,2nd ratoon cane,Preemergent,Grade 2,K84-200,120 cm,Organic,Loam,16-16-16,Grade 2,53.38,215.33,Grade 3,C,Grade 1,1057.48,High,1980s
Sri Lanka,Rain,Groundwater,3rd ratoon cane,Preemergent,Grade 1,K99-72,150 cm,Chemical,Silty clay,46-0-0,Grade 3,78.23,245.25,Grade 3,A,Grade 3,1675.56,Low,1980s
Pakistan,Rain,Groundwater,2nd ratoon cane,Herbicide,Grade 2,K84-200,140 cm,Chemical,Loam,15-15-15,Grade 2,61.63,10.41,Grade 2,B,Grade 2,2057.87,High,1980s
Pakistan,Water pour,Groundwater,1st ratoon cane,Herbicide,Grade 2,LK92-11,150 cm,Chemical,Ferus soil,15-15-15,Grade 1,5.77,143.55,Grade 2,C,Grade 1,1868.43,Low,1980s
Nepal,Rain,Groundwater,1st ratoon cane,Herbicide,Grade 1,LK92-11,150 cm,Organic,Ferus soil,15-15-15,Grade 3,56.19,467.69,Grade 3,B,Grade 2,1701.4,High,1980s
India,Water pour,Rain,3rd ratoon cane,Preemergent,Grade 2,K99-72,150 cm,Chemical,Silty clay,25-7-7,Grade 3,83.14,310.01,Grade 2,A,Grade 2,1523.63,Low,2010s
Sri Lanka,Water pour,Groundwater,3rd ratoon cane,Preemergent,Grade 1,K99-72,150 cm,Organic,Ferus soil,46-0-0,Grade 3,88.4,499.58,Grade 1,C,Grade 1,2312.85,Low,1980s
Sri Lanka,Water pour,Natural canal,3rd ratoon cane,Preemergent,Grade 3,K84-200,140 cm,Organic,Loam,15-15-15,Grade 3,47.9,62.8,Grade 3,B,Grade 3,1140.17,Low,2020s
Nepal,Water pour,Groundwater,2nd ratoon cane,Preemergent,Grade 3,LK92-11,130 cm,Organic,Loam,15-15-15,Grade 1,99.92,49.66,Grade 1,C,Grade 2,2058.2,Low,2010s
Bangladesh,Water pour,Rain,3rd ratoon cane,Herbicide,Grade 1,Khonkean3,150 cm,Chemical,Silty clay,15-15-15,Grade 2,59.92,479.61,Grade 2,C,Grade 2,2978.39,Low,1990s
India,Water pour,Natural canal,1st ratoon cane,Preemergent,Grade 2,K99-72,120 cm,Organic,Silty clay,46-0-0,Grade 3,36.0,395.28,Grade 1,A,Grade 1,2155.87,High,2020s
Sri Lanka,Rain,Rain,1st ratoon cane,Herbicide,Grade 3,K84-200,150 cm,Chemical,Loam,16-16-16,Grade 1,41.91,352.04,Grade 2,B,Grade 1,928.46,Low,1990s
Nepal,Water pour,Natural canal,1st ratoon cane,Herbicide,Grade 3,K84-200,120 cm,Organic,Ferus soil,25-7-7,Grade 1,52.97,384.0,Grade 3,C,Grade 1,2239.48,High,2020s
India,Rain,Groundwater,2nd ratoon cane,Herbicide,Grade 1,LK92-11,150 cm,Organic,Ferus soil,16-16-16,Grade 2,49.57,149.57,Grade 3,A,Grade 1,2366.72,Low,2000s
India,Water pour,Rain,1st ratoon cane,Preemergent,Grade 3,K84-200,150 cm,Organic,Ferus soil,25-7-7,Grade 2,61.34,399.96,Grade 2,C,Grade 3,1007.31,Low,2020s
India,Rain,Groundwater,1st ratoon cane,Herbicide,Grade 2,LK92-11,120 cm,Chemical,Ferus soil,15-15-15,Grade 1,76.22,387.01,Grade 2,A,Grade 1,1563.25,Low,1970s
India,Rain,Rain,2nd ratoon cane,Preemergent,Grade 2,LK92-11,130 cm,Chemical,Loam,25-7-7,Grade 2,70.82,162.55,Grade 2,B,Grade 3,2798.11,Low,2010s
Pakistan,Rain,Groundwater,1st ratoon cane,Preemergent,Grade 1,K99-72,150 cm,Organic,Ferus soil,46-0-0,Grade 1,13.12,368.75,Grade 1,B,Grade 1,2554.51,Low,2000s
Pakistan,Water pour,Rain,3rd ratoon cane,Preemergent,Grade 2,LK92-11,140 cm,Organic,Ferus soil,15-15-15,Grade 1,41.37,308.1,Grade 3,A,Grade 3,2228.68,Low,2000s
Sri Lanka,Rain,Rain,3rd ratoon cane,Preemergent,Grade 1,Khonkean3,120 cm,Organic,Loam,16-16-16,Grade 3,55.68,273.77,Grade 3,A,Grade 1,1484.53,High,2000s
Sri Lanka,Rain,Groundwater,3rd ratoon cane,Herbicide,Grade 2,K84-200,150 cm,Organic,Ferus soil,15-15-15,Grade 1,98.7,123.59,Grade 2,C,Grade 2,1315.4,High,1970s
India,Rain,Rain,3rd ratoon cane,Herbicide,Grade 2,LK92-11,140 cm,Chemical,Loam,25-7-7,Grade 1,95.87,300.86,Grade 3,C,Grade 1,2269.07,High,1990s
Nepal,Rain,Rain,2nd ratoon cane,Herbicide,Grade 2,LK92-11,140 cm,Chemical,Loam,25-7-7,Grade 1,49.14,452.18,Grade 2,C,Grade 2,2853.26,High,1970s
Nepal,Water pour,Natural canal,1st ratoon cane,Herbicide,Grade 3,K84-200,150 cm,Organic,Loam,46-0-0,Grade 1,32.62,416.21,Grade 1,C,Grade 3,2151.81,High,2000s
Bangladesh,Water pour,Rain,2nd ratoon cane,Preemergent,Grade 3,K84-200,130 cm,Chemical,Loam,46-0-0,Grade 1,10.07,279.35,Grade 3,A,Grade 3,1242.15,High,1980s
Sri Lanka,Rain,Groundwater,1st ratoon cane,Herbicide,Grade 2,K84-200,150 cm,Chemical,Silty clay,46-0-0,Grade 3,68.94,398.62,Grade 3,A,Grade 2,2767.9,High,2010s
Nepal,Water pour,Natural canal,2nd ratoon cane,Herbicide,Grade 2,Khonkean3,130 cm,Chemical,Silty clay,46-0-0,Grade 1,80.56,474.63,Grade 3,A,Grade 1,2913.24,High,1970s
Pakistan,Rain,Groundwater,2nd ratoon cane,Herbicide,Grade 3,LK92-11,130 cm,Chemical,Silty clay,25-7-7,Grade 1,42.52,108.41,Grade 1,B,Grade 3,2657.2,High,1990s
Sri Lanka,Water pour,Rain,2nd ratoon cane,Preemergent,Grade 1,LK92-11,120 cm,Organic,Ferus soil,46-0-0,Grade 3,32.48,184.28,Grade 3,B,Grade 2,2189.2,High,2010s
India,Rain,Natural canal,1st ratoon cane,Preemergent,Grade 2,LK92-11,130 cm,Chemical,Silty clay,15-15-15,Grade 2,42.42,315.86,Grade 2,A,Grade 3,1113.67,High,2010s
Nepal,Water pour,Rain,1st ratoon cane,Herbicide,Grade 2,Khonkean3,140 cm,Organic,Ferus soil,16-16-16,Grade 1,90.86,458.05,Grade 3,C,Grade 1,2506.41,Low,1990s
India,Rain,Groundwater,1st ratoon cane,Herbicide,Grade 3,LK92-11,140 cm,Chemical,Silty clay,16-16-16,Grade 1,90.66,73.91,Grade 1,C,Grade 2,2954.82,Low,2010s
India,Rain,Rain,1st ratoon cane,Herbicide,Grade 3,K84-200,140 cm,Organic,Silty clay,15-15-15,Grade 3,23.44,168.63,Grade 2,C,Grade 3,2219.47,High,1970s
Bangladesh,Water pour,Rain,2nd ratoon cane,Preemergent,Grade 2,K99-72,130 cm,Chemical,Loam,15-15-15,Grade 3,89.07,366.19,Grade 1,B,Grade 3,1859.08,Low,2000s
Nepal,Rain,Natural canal,3rd ratoon cane,Preemergent,Grade 3,Khonkean3,120 cm,Organic,Ferus soil,25-7-7,Grade 1,43.71,398.02,Grade 1,C,Grade 1,2427.22,High,2010s
Pakistan,Water pour,Natural canal,1st ratoon cane,Preemergent,Grade 1,Khonkean3,150 cm,Organic,Loam,16-16-16,Grade 3,63.96,307.48,Grade 2,A,Grade 1,1190.53,Low,2010s
Sri Lanka,Rain,Groundwater,3rd ratoon cane,Herbicide,Grade 2,Khonkean3,120 cm,Chemical,Silty clay,25-7-7,Grade 3,16.04,487.82,Grade 2,A,Grade 2,916.5,Low,1970s
India,Rain,Rain,1st ratoon cane,Herbicide,Grade 3,K99-72,150 cm,Chemical,Loam,15-15-15,Grade 2,58.6,140.42,Grade 1,C,Grade 3,1964.24,High,2010s
Sri Lanka,Water pour,Natural canal,2nd ratoon cane,Preemergent,Grade 3,K99-72,140 cm,Organic,Ferus soil,15-15-15,Grade 3,67.42,34.2,Grade 3,C,Grade 1,2467.69,High,2020s
Bangladesh,Rain,Natural canal,1st ratoon cane,Preemergent,Grade 3,K84-200,120 cm,Chemical,Loam,46-0-0,Grade 3,89.36,417.76,Grade 2,A,Grade 2,2620.82,High,1990s
Sri Lanka,Water pour,Groundwater,3rd ratoon cane,Herbicide,Grade 1,Khonkean3,120 cm,Chemical,Ferus soil,15-15-15,Grade 1,44.89,120.51,Grade 2,A,Grade 2,1504.39,High,1980s
Sri Lanka,Rain,Rain,1st ratoon cane,Herbicide,Grade 1,LK92-11,130 cm,Chemical,Silty clay,16-16-16,Grade 3,53.71,148.24,Grade 3,B,Grade 3,1538.22,Low,1990s
Bangladesh,Water pour,Natural canal,1st ratoon cane,Herbicide,Grade 1,Khonkean3,130 cm,Chemical,Loam,46-0-0,Grade 1,53.14,135.9,Grade 3,B,Grade 3,2346.32,High,2010s
Pakistan,Rain,Natural canal,1st ratoon cane,Preemergent,Grade 2,K99-72,150 cm,Organic,Ferus soil,25-7-7,Grade 1,62.01,485.77,Grade 2,B,Grade 2,1027.2,High,1980s
India,Water pour,Groundwater,1st ratoon cane,Herbicide,Grade 1,K99-72,130 cm,Organic,Ferus soil,46-0-0,Grade 2,56.69,122.58,Grade 3,B,Grade 1,2396.3,High,1970s
Sri Lanka,Water pour,Rain,2nd ratoon cane,Herbicide,Grade 3,LK92-11,150 cm,Chemical,Ferus soil,16-16-16,Grade 1,51.73,197.64,Grade 1,C,Grade 3,836.17,Low,2010s
Sri Lanka,Rain,Natural canal,3rd ratoon cane,Preemergent,Grade 3,K84-200,130 cm,Organic,Loam,46-0-0,Grade 2,32.29,294.96,Grade 2,A,Grade 2,1381.82,Low,1990s
Sri Lanka,Rain,Groundwater,2nd ratoon cane,Preemergent,Grade 3,K84-200,150 cm,Organic,Silty clay,25-7-7,Grade 3,42.03,173.29,Grade 1,A,Grade 3,602.25,Low,1970s
Sri Lanka,Rain,Natural canal,1st ratoon cane,Preemergent,Grade 3,LK92-11,150 cm,Chemical,Silty clay,25-7-7,Grade 1,86.05,394.87,Grade 3,B,Grade 3,2064.18,High,1970s
Sri Lanka,Water pour,Rain,2nd ratoon cane,Herbicide,Grade 3,LK92-11,120 cm,Organic,Ferus soil,15-15-15,Grade 2,43.81,366.43,Grade 1,A,Grade 2,727.81,High,1980s
Bangladesh,Water pour,Rain,1st ratoon cane,Herbicide,Grade 3,LK92-11,150 cm,Organic,Loam,46-0-0,Grade 1,59.43,19.65,Grade 3,C,Grade 1,2337.81,High,2010s
Pakistan,Rain,Rain,2nd ratoon cane,Herbicide,Grade 1,K84-200,130 cm,Organic,Ferus soil,15-15-15,Grade 2,15.62,65.65,Grade 2,A,Grade 3,1619.16,Low,2020s
Pakistan,Water pour,Rain,3rd ratoon cane,Preemergent,Grade 3,LK92-11,150 cm,Organic,Silty clay,46-0-0,Grade 2,39.56,98.51,Grade 2,B,Grade 1,1671.52,Low,2020s
India,Water pour,Natural canal,3rd ratoon cane,Herbicide,Grade 3,Khonkean3,150 cm,Chemical,Silty clay,46-0-0,Grade 1,73.5,314.21,Grade 3,B,Grade 1,2479.69,High,1970s
India,Rain,Natural canal,1st ratoon cane,Herbicide,Grade 3,LK92-11,140 cm,Chemical,Ferus soil,25-7-7,Grade 2,38.04,291.53,Grade 1,A,Grade 1,1073.33,High,2020s
Pakistan,Water pour,Groundwater,2nd ratoon cane,Preemergent,Grade 3,LK92-11,120 cm,Organic,Loam,25-7-7,Grade 3,91.53,178.96,Grade 1,C,Grade 1,2132.09,High,1980s
Sri Lanka,Water pour,Rain,1st ratoon cane,Herbicide,Grade 2,K99-72,140 cm,Chemical,Ferus soil,15-15-15,Grade 1,73.36,189.33,Grade 2,C,Grade 3,1054.4,High,1990s
Bangladesh,Rain,Groundwater,2nd ratoon cane,Preemergent,Grade 1,LK92-11,150 cm,Organic,Loam,16-16-16,Grade 2,89.98,282.97,Grade 2,A,Grade 2,1371.27,High,2010s
Bangladesh,Water pour,Natural canal,1st ratoon cane,Preemergent,Grade 3,Khonkean3,130 cm,Chemical,Loam,25-7-7,Grade 1,61.15,129.19,Grade 3,B,Grade 2,2538.02,Low,2010s
