"","Year","Country","ActionWater","WaterType","Class_cane","Epidemic","YieldOldGrade","Type_Cane","GrooveWide","FertilizerType","TypeSoil","Fertilizer","TargetOldGrade","Yield","Area_Remain","ContractsArea","YieldGrade","FarmerContractGrade","TargetGrade","Rain_Avg"
"28015",1988,"India","Water pour","Groundwater","2nd ratoon cane","Preemergent","Grade 1","LK92-11","150 cm","Organic","Silty clay","15-15-15","Grade 3",117.09,73.64,316.13,"Grade 1","B","Grade 2",618.54
"28017",1990,"Bangladesh","Rain","Natural canal","3rd ratoon cane","Herbicide","Grade 2","LK92-11","150 cm","Organic","Ferus soil","16-16-16","Grade 3",153.83,89.82,394.5,"Grade 2","B","Grade 3",1723.76
"28018",1991,"Nepal","Water pour","Natural canal","3rd ratoon cane","Preemergent","Grade 1","Khonkean3","130 cm","Chemical","Silty clay","15-15-15","Grade 3",68.89,20.13,343.93,"Grade 1","A","Grade 3",1316.54
"28020",1993,"Bangladesh","Water pour","Rain","1st ratoon cane","Herbicide","Grade 2","Khonkean3","140 cm","Organic","Silty clay","46-0-0","Grade 1",53.74,73.84,309.89,"Grade 3","C","Grade 1",2498.57
"28021",1994,"Pakistan","Water pour","Groundwater","3rd ratoon cane","Herbicide","Grade 3","K99-72","150 cm","Chemical","Silty clay","25-07-2007","Grade 1",73.29,25.35,19.88,"Grade 1","A","Grade 2",1627.43
"28023",1996,"Sri Lanka","Water pour","Natural canal","2nd ratoon cane","Preemergent","Grade 1","LK92-11","130 cm","Chemical","Silty clay","46-0-0","Grade 1",139.35,53.12,466.6,"Grade 1","C","Grade 2",1464.02
"28024",1997,"Nepal","Rain","Rain","1st ratoon cane","Herbicide","Grade 1","Khonkean3","130 cm","Organic","Silty clay","25-07-2007","Grade 3",156.95,86.17,165.31,"Grade 1","C","Grade 2",1604.43
"28025",1998,"Bangladesh","Rain","Natural canal","2nd ratoon cane","Herbicide","Grade 1","Khonkean3","150 cm","Organic","Silty clay","25-07-2007","Grade 3",79.64,29.15,17.74,"Grade 1","B","Grade 3",2161.14
"28026",1999,"India","Rain","Rain","3rd ratoon cane","Herbicide","Grade 3","Khonkean3","150 cm","Organic","Ferus soil","16-16-16","Grade 1",88.95,62.24,251.53,"Grade 3","A","Grade 1",1324.73
"28027",2000,"Nepal","Rain","Rain","3rd ratoon cane","Preemergent","Grade 2","K99-72","150 cm","Chemical","Silty clay","16-16-16","Grade 2",184.22,34.6,484.49,"Grade 3","B","Grade 3",1952.64
"28028",2001,"Pakistan","Water pour","Rain","3rd ratoon cane","Preemergent","Grade 3","K99-72","130 cm","Chemical","Ferus soil","46-0-0","Grade 2",69.36,14.62,325.52,"Grade 3","C","Grade 1",1072.48
"28030",2003,"Bangladesh","Water pour","Rain","2nd ratoon cane","Herbicide","Grade 2","K99-72","120 cm","Chemical","Silty clay","25-07-2007","Grade 1",146.47,40.64,416.1,"Grade 2","C","Grade 3",2534.91
"28031",2004,"Sri Lanka","Water pour","Groundwater","1st ratoon cane","Preemergent","Grade 1","K99-72","150 cm","Chemical","Ferus soil","16-16-16","Grade 1",64.93,29.07,277.58,"Grade 2","C","Grade 3",2249.37
"28032",2005,"Nepal","Water pour","Natural canal","3rd ratoon cane","Preemergent","Grade 2","Khonkean3","130 cm","Organic","Ferus soil","16-16-16","Grade 2",80.62,53.58,261.37,"Grade 3","A","Grade 1",1881.32
"28033",2006,"Bangladesh","Water pour","Rain","1st ratoon cane","Preemergent","Grade 1","LK92-11","140 cm","Chemical","Ferus soil","46-0-0","Grade 2",129.56,51.54,119.52,"Grade 1","C","Grade 2",1620.42
"28034",2007,"Pakistan","Rain","Groundwater","3rd ratoon cane","Herbicide","Grade 2","K84-200","130 cm","Chemical","Ferus soil","25-07-2007","Grade 1",162.25,83.15,398.16,"Grade 1","A","Grade 1",1207.92
"28036",2009,"Bangladesh","Rain","Rain","1st ratoon cane","Preemergent","Grade 2","K99-72","130 cm","Organic","Silty clay","16-16-16","Grade 2",110.85,5.5,69.42,"Grade 2","A","Grade 2",2499.9
"28037",2010,"Bangladesh","Water pour","Rain","2nd ratoon cane","Preemergent","Grade 2","LK92-11","140 cm","Organic","Ferus soil","15-15-15","Grade 2",86.48,75.97,197.6,"Grade 2","A","Grade 2",2754.63
"28038",2011,"India","Rain","Groundwater","3rd ratoon cane","Preemergent","Grade 3","Khonkean3","120 cm","Chemical","Ferus soil","16-16-16","Grade 2",190.67,70.08,231.08,"Grade 3","B","Grade 1",1296.49
"28039",2012,"Sri Lanka","Rain","Groundwater","2nd ratoon cane","Preemergent","Grade 3","K99-72","130 cm","Chemical","Silty clay","16-16-16","Grade 1",67.76,59.64,223.09,"Grade 1","C","Grade 3",2470.88
"28040",2013,"Nepal","Rain","Groundwater","1st ratoon cane","Herbicide","Grade 1","K84-200","140 cm","Organic","Ferus soil","15-15-15","Grade 2",80.65,77.19,401.87,"Grade 1","B","Grade 3",1291.54
"28041",2014,"India","Water pour","Rain","1st ratoon cane","Preemergent","Grade 2","LK92-11","120 cm","Chemical","Loam","15-15-15","Grade 2",84.1,23.34,372.67,"Grade 2","B","Grade 3",1680.64
"28042",2015,"Sri Lanka","Rain","Natural canal","3rd ratoon cane","Herbicide","Grade 3","K84-200","120 cm","Organic","Loam","46-0-0","Grade 3",119.34,64.23,344.77,"Grade 2","C","Grade 2",1430.93
"28043",2016,"Nepal","Water pour","Rain","3rd ratoon cane","Herbicide","Grade 1","K99-72","140 cm","Organic","Loam","16-16-16","Grade 3",141.83,82.94,217.73,"Grade 3","A","Grade 2",1126.26
"28044",2017,"Bangladesh","Water pour","Groundwater","1st ratoon cane","Preemergent","Grade 1","K99-72","130 cm","Chemical","Silty clay","46-0-0","Grade 1",119.85,99.74,153.15,"Grade 2","C","Grade 3",771.64
"28045",2018,"Sri Lanka","Rain","Rain","2nd ratoon cane","Preemergent","Grade 3","K99-72","130 cm","Organic","Loam","15-15-15","Grade 3",84.28,56.28,281.95,"Grade 1","A","Grade 1",894.54
"28047",2020,"India","Rain","Groundwater","2nd ratoon cane","Herbicide","Grade 3","LK92-11","130 cm","Organic","Silty clay","15-15-15","Grade 3",197.64,59.73,165.03,"Grade 1","B","Grade 2",1255.38
"28049",2022,"India","Water pour","Groundwater","3rd ratoon cane","Preemergent","Grade 2","Khonkean3","130 cm","Chemical","Silty clay","46-0-0","Grade 1",121.26,92.04,428.48,"Grade 3","C","Grade 2",1759.42
"28050",2023,"Pakistan","Rain","Groundwater","3rd ratoon cane","Preemergent","Grade 2","K84-200","150 cm","Organic","Ferus soil","25-07-2007","Grade 3",137.27,29.06,74.98,"Grade 2","C","Grade 2",2896.84
"28051",1974,"Pakistan","Water pour","Groundwater","2nd ratoon cane","Herbicide","Grade 2","K99-72","150 cm","Chemical","Silty clay","16-16-16","Grade 3",104.19,87.36,247.57,"Grade 2","C","Grade 1",2107.45
"28052",1975,"India","Water pour","Rain","1st ratoon cane","Herbicide","Grade 3","Khonkean3","140 cm","Organic","Loam","46-0-0","Grade 1",150.35,6.23,267.23,"Grade 1","B","Grade 3",2292.72
"28053",1976,"Bangladesh","Water pour","Groundwater","1st ratoon cane","Preemergent","Grade 1","K99-72","130 cm","Chemical","Silty clay","16-16-16","Grade 3",101.98,46.64,91.54,"Grade 2","C","Grade 2",1990.02
"28054",1977,"Bangladesh","Water pour","Rain","1st ratoon cane","Herbicide","Grade 3","K99-72","140 cm","Chemical","Silty clay","15-15-15","Grade 2",108.13,87.59,428.66,"Grade 1","A","Grade 2",921.55
"28055",1978,"Sri Lanka","Water pour","Rain","1st ratoon cane","Preemergent","Grade 3","LK92-11","140 cm","Chemical","Silty clay","46-0-0","Grade 1",66.89,73.15,239.51,"Grade 2","A","Grade 3",1742.07
"28056",1979,"India","Rain","Rain","1st ratoon cane","Herbicide","Grade 1","K99-72","150 cm","Chemical","Loam","25-07-2007","Grade 3",116.88,71.63,191.46,"Grade 2","B","Grade 1",2528.63
"28057",1980,"Bangladesh","Rain","Natural canal","1st ratoon cane","Herbicide","Grade 3","K99-72","150 cm","Organic","Silty clay","25-07-2007","Grade 1",54.71,65.93,314.56,"Grade 1","A","Grade 2",2877.42
"28058",1981,"Sri Lanka","Water pour","Groundwater","3rd ratoon cane","Preemergent","Grade 3","Khonkean3","140 cm","Organic","Silty clay","16-16-16","Grade 3",164.64,17.82,70.91,"Grade 1","C","Grade 3",1125.25
"28059",1982,"Pakistan","Rain","Natural canal","1st ratoon cane","Preemergent","Grade 3","LK92-11","120 cm","Chemical","Loam","46-0-0","Grade 1",69.16,56.53,320.47,"Grade 1","A","Grade 3",1052.97
"28061",1984,"India","Rain","Groundwater","2nd ratoon cane","Herbicide","Grade 1","K99-72","120 cm","Organic","Loam","46-0-0","Grade 1",50.52,76.8,203.86,"Grade 3","B","Grade 2",2956.52
"28063",1986,"Nepal","Rain","Groundwater","1st ratoon cane","Herbicide","Grade 2","LK92-11","120 cm","Organic","Ferus soil","25-07-2007","Grade 3",107.04,8.15,265.83,"Grade 2","A","Grade 3",961.27
"28064",1987,"Nepal","Water pour","Rain","2nd ratoon cane","Preemergent","Grade 3","K84-200","150 cm","Organic","Ferus soil","25-07-2007","Grade 1",180.7,29.88,301.96,"Grade 2","B","Grade 2",1845.9
"28066",1989,"Nepal","Water pour","Groundwater","1st ratoon cane","Preemergent","Grade 3","Khonkean3","150 cm","Organic","Silty clay","25-07-2007","Grade 1",115.38,52.03,280.82,"Grade 1","B","Grade 3",1588.53
"28067",1990,"Nepal","Water pour","Rain","3rd ratoon cane","Herbicide","Grade 3","Khonkean3","120 cm","Chemical","Ferus soil","15-15-15","Grade 2",95.68,6.81,35.53,"Grade 2","B","Grade 3",1203.05
"28068",1991,"Bangladesh","Water pour","Natural canal","1st ratoon cane","Herbicide","Grade 1","K84-200","120 cm","Chemical","Loam","46-0-0","Grade 3",182.87,38.9,133,"Grade 2","C","Grade 1",1999.15
"28069",1992,"Nepal","Rain","Natural canal","3rd ratoon cane","Herbicide","Grade 1","K99-72","120 cm","Chemical","Loam","16-16-16","Grade 1",176.55,74.56,458.56,"Grade 2","A","Grade 3",1241.35
"28070",1993,"Pakistan","Water pour","Groundwater","2nd ratoon cane","Preemergent","Grade 3","K84-200","150 cm","Chemical","Ferus soil","16-16-16","Grade 2",86.7,56.17,17.24,"Grade 2","A","Grade 2",688.52
"28071",1994,"Bangladesh","Rain","Natural canal","1st ratoon cane","Herbicide","Grade 3","Khonkean3","140 cm","Chemical","Ferus soil","15-15-15","Grade 2",88.04,24.03,386.49,"Grade 1","A","Grade 3",863.74
"28072",1995,"India","Rain","Natural canal","2nd ratoon cane","Preemergent","Grade 3","K99-72","140 cm","Chemical","Loam","25-07-2007","Grade 3",162.41,35.31,373.76,"Grade 3","A","Grade 2",1506.29
"28073",1996,"Pakistan","Water pour","Natural canal","3rd ratoon cane","Herbicide","Grade 1","LK92-11","130 cm","Chemical","Silty clay","25-07-2007","Grade 3",172.01,52.61,42.83,"Grade 2","B","Grade 1",2282.22
"28074",1997,"Pakistan","Water pour","Groundwater","2nd ratoon cane","Preemergent","Grade 1","K84-200","150 cm","Chemical","Silty clay","46-0-0","Grade 2",180.5,8.28,217,"Grade 2","C","Grade 2",1565.25
"28076",1999,"Bangladesh","Water pour","Rain","1st ratoon cane","Preemergent","Grade 3","K99-72","120 cm","Organic","Ferus soil","46-0-0","Grade 3",199.22,22.07,237.5,"Grade 2","C","Grade 1",1177.5
"28077",2000,"Nepal","Rain","Groundwater","1st ratoon cane","Preemergent","Grade 1","Khonkean3","150 cm","Chemical","Ferus soil","25-07-2007","Grade 1",93.08,96.62,297.72,"Grade 1","C","Grade 2",959.45
"28079",2002,"India","Water pour","Natural canal","2nd ratoon cane","Preemergent","Grade 3","K99-72","130 cm","Chemical","Loam","16-16-16","Grade 2",178.53,43.41,193.57,"Grade 3","B","Grade 2",1137.61
"28080",2003,"Bangladesh","Water pour","Rain","2nd ratoon cane","Preemergent","Grade 3","K99-72","130 cm","Chemical","Silty clay","16-16-16","Grade 3",116.53,43.24,70.52,"Grade 2","C","Grade 3",793.2
"28081",2004,"Pakistan","Rain","Rain","1st ratoon cane","Preemergent","Grade 3","K99-72","130 cm","Chemical","Silty clay","16-16-16","Grade 3",169.12,94.78,455.99,"Grade 3","C","Grade 1",1367.84
"28082",2005,"Sri Lanka","Rain","Groundwater","3rd ratoon cane","Herbicide","Grade 3","LK92-11","140 cm","Chemical","Silty clay","25-07-2007","Grade 3",161.4,77.92,324.25,"Grade 3","A","Grade 3",712.52
"28083",2006,"Bangladesh","Rain","Rain","3rd ratoon cane","Preemergent","Grade 1","K99-72","140 cm","Chemical","Silty clay","25-07-2007","Grade 3",85.94,63.11,104.75,"Grade 1","B","Grade 3",887.71
"28085",2008,"India","Water pour","Rain","3rd ratoon cane","Herbicide","Grade 3","K84-200","130 cm","Chemical","Silty clay","46-0-0","Grade 1",114.04,35.18,199.23,"Grade 1","B","Grade 3",2853.55
"28086",2009,"Bangladesh","Water pour","Groundwater","1st ratoon cane","Preemergent","Grade 3","LK92-11","140 cm","Chemical","Silty clay","25-07-2007","Grade 1",156.26,56.16,193.37,"Grade 2","B","Grade 3",506.24
"28087",2010,"Sri Lanka","Rain","Groundwater","3rd ratoon cane","Preemergent","Grade 2","K84-200","140 cm","Chemical","Silty clay","15-15-15","Grade 1",125.62,19.43,77.52,"Grade 2","B","Grade 2",2467.68
"28088",2011,"Sri Lanka","Rain","Rain","2nd ratoon cane","Preemergent","Grade 2","K84-200","120 cm","Chemical","Silty clay","16-16-16","Grade 1",63.65,43.51,113.32,"Grade 1","B","Grade 3",2078.12
"28090",2013,"Bangladesh","Rain","Groundwater","1st ratoon cane","Preemergent","Grade 3","Khonkean3","130 cm","Organic","Ferus soil","46-0-0","Grade 2",158.52,36.44,470.29,"Grade 3","C","Grade 3",1175.9
"28092",2015,"Pakistan","Water pour","Groundwater","3rd ratoon cane","Preemergent","Grade 1","K99-72","140 cm","Chemical","Silty clay","25-07-2007","Grade 3",149.83,42.64,401.88,"Grade 1","B","Grade 2",1533.91
"28093",2016,"Pakistan","Water pour","Rain","2nd ratoon cane","Preemergent","Grade 3","K84-200","150 cm","Chemical","Ferus soil","46-0-0","Grade 1",120.9,9.13,180.74,"Grade 1","B","Grade 1",655.49
"28094",2017,"Pakistan","Water pour","Natural canal","3rd ratoon cane","Preemergent","Grade 2","K99-72","130 cm","Organic","Silty clay","16-16-16","Grade 2",197.62,69.4,422.17,"Grade 1","B","Grade 3",1624.9
"28095",2018,"India","Water pour","Rain","3rd ratoon cane","Preemergent","Grade 3","K84-200","130 cm","Chemical","Ferus soil","16-16-16","Grade 1",121.44,94.56,483.55,"Grade 2","A","Grade 2",897.28
"28096",2019,"Bangladesh","Water pour","Rain","1st ratoon cane","Preemergent","Grade 1","Khonkean3","150 cm","Chemical","Loam","16-16-16","Grade 2",195.87,5.18,150.67,"Grade 2","B","Grade 1",1155.12
"28097",2020,"Sri Lanka","Water pour","Groundwater","3rd ratoon cane","Preemergent","Grade 3","LK92-11","120 cm","Chemical","Ferus soil","16-16-16","Grade 2",140.95,63.8,420.98,"Grade 2","B","Grade 2",1974.26
"28098",2021,"Sri Lanka","Water pour","Groundwater","3rd ratoon cane","Herbicide","Grade 2","LK92-11","140 cm","Organic","Ferus soil","15-15-15","Grade 1",185.3,15.83,435.74,"Grade 3","B","Grade 3",1587.48
"28099",2022,"India","Water pour","Natural canal","3rd ratoon cane","Herbicide","Grade 1","K99-72","140 cm","Chemical","Loam","16-16-16","Grade 1",83.57,79.46,480.81,"Grade 3","A","Grade 2",517.99
"28100",2023,"Pakistan","Rain","Rain","3rd ratoon cane","Preemergent","Grade 1","LK92-11","140 cm","Chemical","Ferus soil","25-07-2007","Grade 1",130.44,36.12,223.47,"Grade 2","C","Grade 2",2648.6
"28101",1974,"India","Water pour","Groundwater","2nd ratoon cane","Preemergent","Grade 2","Khonkean3","140 cm","Chemical","Silty clay","25-07-2007","Grade 2",119.35,90.52,220.85,"Grade 1","B","Grade 2",2399.73
"28102",1975,"Sri Lanka","Rain","Natural canal","2nd ratoon cane","Herbicide","Grade 3","Khonkean3","120 cm","Organic","Ferus soil","46-0-0","Grade 1",101.79,31.82,367.8,"Grade 3","C","Grade 1",828.61
"28103",1976,"Nepal","Water pour","Natural canal","1st ratoon cane","Herbicide","Grade 1","K84-200","140 cm","Organic","Ferus soil","25-07-2007","Grade 1",99.42,53.92,246.05,"Grade 3","B","Grade 1",2748.75
"28104",1977,"Pakistan","Rain","Rain","2nd ratoon cane","Preemergent","Grade 3","LK92-11","120 cm","Chemical","Silty clay","15-15-15","Grade 2",192.24,71.04,417.71,"Grade 3","B","Grade 3",550
"28105",1978,"India","Rain","Natural canal","3rd ratoon cane","Herbicide","Grade 2","K99-72","150 cm","Organic","Ferus soil","25-07-2007","Grade 3",191.51,44.94,247.77,"Grade 1","A","Grade 3",1258.31
"28106",1979,"Bangladesh","Water pour","Natural canal","2nd ratoon cane","Preemergent","Grade 3","K99-72","120 cm","Organic","Loam","25-07-2007","Grade 1",171.24,26.3,221.87,"Grade 1","C","Grade 1",1203.98
"28111",1984,"Nepal","Water pour","Natural canal","1st ratoon cane","Preemergent","Grade 2","Khonkean3","120 cm","Chemical","Loam","16-16-16","Grade 1",129.41,48.78,430.03,"Grade 3","B","Grade 1",2206.25
"28113",1986,"Sri Lanka","Water pour","Natural canal","1st ratoon cane","Herbicide","Grade 1","Khonkean3","120 cm","Chemical","Silty clay","46-0-0","Grade 2",59.44,48.64,381.27,"Grade 2","A","Grade 2",2756.19
"28114",1987,"Nepal","Rain","Rain","1st ratoon cane","Preemergent","Grade 1","K99-72","130 cm","Chemical","Ferus soil","46-0-0","Grade 1",101.46,83.04,274.94,"Grade 1","A","Grade 2",1986.1
"28115",1988,"Pakistan","Rain","Groundwater","3rd ratoon cane","Preemergent","Grade 2","Khonkean3","120 cm","Organic","Silty clay","46-0-0","Grade 1",157.52,83.51,275.09,"Grade 1","C","Grade 2",2159.18
"28117",1990,"India","Rain","Natural canal","3rd ratoon cane","Herbicide","Grade 1","LK92-11","140 cm","Organic","Loam","16-16-16","Grade 2",119.39,45.26,296.77,"Grade 3","B","Grade 3",1815.86
"28119",1992,"Sri Lanka","Rain","Groundwater","1st ratoon cane","Preemergent","Grade 1","K84-200","130 cm","Chemical","Silty clay","25-07-2007","Grade 1",52.37,76.44,193.82,"Grade 1","C","Grade 1",1573.76
"28120",1993,"Sri Lanka","Water pour","Groundwater","1st ratoon cane","Herbicide","Grade 1","K84-200","150 cm","Chemical","Loam","16-16-16","Grade 3",193.51,18.07,372.23,"Grade 3","B","Grade 1",945.9
"28121",1994,"Nepal","Rain","Groundwater","2nd ratoon cane","Herbicide","Grade 2","Khonkean3","140 cm","Organic","Loam","16-16-16","Grade 2",73.17,75.66,443.4,"Grade 3","C","Grade 2",2062.57
"28122",1995,"Sri Lanka","Rain","Groundwater","2nd ratoon cane","Herbicide","Grade 3","Khonkean3","150 cm","Chemical","Silty clay","46-0-0","Grade 2",83.65,29.78,492.11,"Grade 1","A","Grade 1",2078.26
"28123",1996,"Nepal","Water pour","Natural canal","1st ratoon cane","Herbicide","Grade 2","Khonkean3","150 cm","Organic","Ferus soil","46-0-0","Grade 1",103.45,34.96,209.81,"Grade 3","B","Grade 2",1214.4
"28124",1997,"Sri Lanka","Rain","Groundwater","3rd ratoon cane","Herbicide","Grade 3","K84-200","140 cm","Chemical","Silty clay","15-15-15","Grade 3",174.6,87.54,73.45,"Grade 3","C","Grade 1",2444.36
"28125",1998,"Bangladesh","Water pour","Groundwater","2nd ratoon cane","Herbicide","Grade 3","K99-72","130 cm","Organic","Ferus soil","16-16-16","Grade 1",80.62,33.54,103.82,"Grade 2","A","Grade 1",1558.05
"28128",2001,"India","Rain","Natural canal","1st ratoon cane","Preemergent","Grade 1","LK92-11","150 cm","Chemical","Ferus soil","25-07-2007","Grade 3",78.81,66.93,490.17,"Grade 3","A","Grade 2",2891.58
"28129",2002,"Pakistan","Rain","Groundwater","2nd ratoon cane","Herbicide","Grade 2","LK92-11","140 cm","Organic","Loam","25-07-2007","Grade 1",98.6,53.44,312.27,"Grade 2","C","Grade 1",769.71
"28131",2004,"Nepal","Rain","Rain","2nd ratoon cane","Preemergent","Grade 3","K84-200","140 cm","Chemical","Silty clay","15-15-15","Grade 2",161.77,81.25,38.82,"Grade 2","C","Grade 2",2284.71
"28132",2005,"Pakistan","Rain","Groundwater","1st ratoon cane","Preemergent","Grade 1","K99-72","150 cm","Organic","Ferus soil","46-0-0","Grade 1",108.95,13.12,368.75,"Grade 1","B","Grade 1",2554.51
"28133",2006,"Sri Lanka","Water pour","Groundwater","2nd ratoon cane","Preemergent","Grade 3","K84-200","120 cm","Chemical","Ferus soil","15-15-15","Grade 3",51.27,18.6,415.51,"Grade 1","B","Grade 1",1381.54
"28134",2007,"India","Water pour","Natural canal","2nd ratoon cane","Preemergent","Grade 3","Khonkean3","130 cm","Organic","Ferus soil","25-07-2007","Grade 2",154.32,67.24,351.24,"Grade 1","C","Grade 1",766
"28135",2008,"India","Rain","Groundwater","2nd ratoon cane","Herbicide","Grade 1","K84-200","130 cm","Chemical","Loam","15-15-15","Grade 1",184.21,16.7,414.98,"Grade 3","B","Grade 3",1695.7
"28136",2009,"Bangladesh","Water pour","Rain","3rd ratoon cane","Herbicide","Grade 3","K84-200","150 cm","Organic","Loam","16-16-16","Grade 3",117.89,53.83,74.17,"Grade 1","B","Grade 3",849.04
"28141",2014,"Bangladesh","Rain","Groundwater","2nd ratoon cane","Preemergent","Grade 3","Khonkean3","120 cm","Chemical","Silty clay","46-0-0","Grade 2",184.49,19.43,199.99,"Grade 2","A","Grade 2",2098.35
"28142",2015,"India","Water pour","Groundwater","3rd ratoon cane","Herbicide","Grade 2","LK92-11","120 cm","Chemical","Ferus soil","25-07-2007","Grade 3",83.76,53.93,485.66,"Grade 3","B","Grade 3",1694.9
"28143",2016,"India","Water pour","Groundwater","2nd ratoon cane","Herbicide","Grade 3","LK92-11","140 cm","Chemical","Silty clay","15-15-15","Grade 1",73.27,97.54,165.11,"Grade 2","C","Grade 3",2597.81
"28144",2017,"Nepal","Rain","Rain","1st ratoon cane","Herbicide","Grade 1","LK92-11","130 cm","Organic","Silty clay","15-15-15","Grade 2",68.72,83.17,475.71,"Grade 1","C","Grade 2",640.4
"28145",2018,"Nepal","Rain","Natural canal","3rd ratoon cane","Herbicide","Grade 3","K84-200","150 cm","Chemical","Ferus soil","15-15-15","Grade 2",170.83,40.77,288.99,"Grade 3","A","Grade 1",1123.28
"28146",2019,"India","Water pour","Rain","2nd ratoon cane","Herbicide","Grade 2","K99-72","140 cm","Organic","Silty clay","46-0-0","Grade 3",193.94,77.55,329.47,"Grade 3","C","Grade 2",618.76
"28147",2020,"Bangladesh","Water pour","Groundwater","3rd ratoon cane","Herbicide","Grade 1","LK92-11","150 cm","Chemical","Loam","46-0-0","Grade 3",107.54,72.49,480.44,"Grade 1","A","Grade 1",1755.32
"28148",2021,"Sri Lanka","Rain","Groundwater","3rd ratoon cane","Herbicide","Grade 2","K84-200","120 cm","Organic","Ferus soil","16-16-16","Grade 3",157.24,22.41,74.48,"Grade 3","B","Grade 3",1552.56
"28149",2022,"Nepal","Water pour","Rain","2nd ratoon cane","Preemergent","Grade 3","K99-72","130 cm","Organic","Silty clay","25-07-2007","Grade 2",125.58,81.34,173.05,"Grade 2","A","Grade 1",1337.33
"28150",2023,"Nepal","Water pour","Rain","2nd ratoon cane","Herbicide","Grade 3","K84-200","130 cm","Organic","Loam","25-07-2007","Grade 1",136.12,55.52,386.25,"Grade 3","A","Grade 2",2942.97
"28151",1974,"Pakistan","Rain","Natural canal","3rd ratoon cane","Herbicide","Grade 2","Khonkean3","120 cm","Chemical","Ferus soil","16-16-16","Grade 2",153.47,41.7,384.23,"Grade 2","B","Grade 2",728.34
"28153",1976,"Nepal","Rain","Natural canal","3rd ratoon cane","Preemergent","Grade 1","Khonkean3","150 cm","Organic","Silty clay","15-15-15","Grade 1",112.04,70.28,42.06,"Grade 3","B","Grade 2",2119.9
"28154",1977,"Bangladesh","Water pour","Groundwater","1st ratoon cane","Preemergent","Grade 3","LK92-11","140 cm","Chemical","Loam","25-07-2007","Grade 1",129.75,40.12,368.35,"Grade 1","C","Grade 2",1000.93
"28155",1978,"Bangladesh","Rain","Groundwater","2nd ratoon cane","Preemergent","Grade 3","Khonkean3","150 cm","Organic","Loam","25-07-2007","Grade 1",107.38,39.45,418.12,"Grade 3","B","Grade 2",1223.63
"28156",1979,"Sri Lanka","Water pour","Groundwater","1st ratoon cane","Herbicide","Grade 3","Khonkean3","150 cm","Chemical","Silty clay","16-16-16","Grade 1",145.43,32.05,289.59,"Grade 2","A","Grade 1",2195.23
"28158",1981,"Sri Lanka","Water pour","Rain","3rd ratoon cane","Herbicide","Grade 3","LK92-11","140 cm","Chemical","Loam","15-15-15","Grade 2",155.42,87.34,195.34,"Grade 2","A","Grade 3",675.97
"28159",1982,"India","Water pour","Groundwater","3rd ratoon cane","Preemergent","Grade 1","K99-72","150 cm","Organic","Loam","46-0-0","Grade 2",176.65,63.32,449.79,"Grade 2","A","Grade 2",1757.75
"28160",1983,"Nepal","Rain","Rain","2nd ratoon cane","Preemergent","Grade 2","K99-72","140 cm","Chemical","Ferus soil","16-16-16","Grade 2",198.9,78.93,15.61,"Grade 3","B","Grade 1",1626
"28161",1984,"Nepal","Water pour","Rain","2nd ratoon cane","Preemergent","Grade 3","Khonkean3","150 cm","Chemical","Silty clay","46-0-0","Grade 2",121.69,72.22,27.85,"Grade 3","B","Grade 3",1749.76
"28162",1985,"Bangladesh","Rain","Rain","1st ratoon cane","Preemergent","Grade 1","Khonkean3","130 cm","Chemical","Silty clay","15-15-15","Grade 1",177.43,52.33,215.75,"Grade 3","C","Grade 3",2287.58
"28163",1986,"Nepal","Water pour","Rain","2nd ratoon cane","Herbicide","Grade 1","K99-72","140 cm","Chemical","Ferus soil","16-16-16","Grade 1",123.23,88.65,222.58,"Grade 2","A","Grade 3",605.52
"28164",1987,"Pakistan","Water pour","Groundwater","1st ratoon cane","Herbicide","Grade 2","LK92-11","150 cm","Chemical","Silty clay","16-16-16","Grade 3",55.23,72.03,278.78,"Grade 1","A","Grade 3",2528.45
"28166",1989,"Sri Lanka","Water pour","Rain","1st ratoon cane","Herbicide","Grade 3","K84-200","120 cm","Organic","Silty clay","25-07-2007","Grade 3",156.93,23.21,110.82,"Grade 1","A","Grade 2",2425
"28167",1990,"India","Water pour","Rain","3rd ratoon cane","Herbicide","Grade 1","Khonkean3","140 cm","Chemical","Loam","25-07-2007","Grade 3",58.89,6.45,31.1,"Grade 3","B","Grade 3",1563.8
"28170",1993,"Bangladesh","Water pour","Groundwater","1st ratoon cane","Herbicide","Grade 3","K84-200","140 cm","Organic","Ferus soil","16-16-16","Grade 2",121.13,99.71,44.08,"Grade 1","C","Grade 2",756.53
"28171",1994,"Sri Lanka","Water pour","Rain","1st ratoon cane","Preemergent","Grade 3","Khonkean3","150 cm","Organic","Ferus soil","46-0-0","Grade 3",184.55,29.2,143.32,"Grade 1","A","Grade 1",1188.21
"28172",1995,"Nepal","Rain","Rain","3rd ratoon cane","Herbicide","Grade 3","LK92-11","130 cm","Chemical","Loam","16-16-16","Grade 3",180.24,42.3,411.2,"Grade 2","B","Grade 3",820.22
"28174",1997,"Bangladesh","Rain","Natural canal","2nd ratoon cane","Preemergent","Grade 2","K99-72","150 cm","Organic","Silty clay","25-07-2007","Grade 2",157.8,35.51,268.37,"Grade 1","B","Grade 2",2376.33
